SAIL_PERNO,column,old_value,new_value
C031831,COST_CENTER,,CWJ0600000
C031831,VPF_AMT,4000,0
C031831,LEAVE_RULES,D,null
C031831,DA_AMT,,null
C031831,EVENT_DT,,null
C031831,EVENT_CD,,null
C030507,COST_CENTER,,CWL0101000
C030507,LEAVE_RULES,D,null
C030507,DA_AMT,,null
C030507,EVENT_DT,,null
C030507,EVENT_CD,,null
C029528,VPF_AMT,24000,25000
C029528,LEAVE_RULES,D,null
C029528,DA_AMT,,null
C029528,EVENT_DT,,null
C029528,EVENT_CD,,null
C031843,COST_CENTER,,CWD0800000
C031843,VPF_AMT,2000,5000
C031843,LEAVE_RULES,D,null
C031843,DA_AMT,,null
C031843,EVENT_DT,,null
C031843,EVENT_CD,,null
C029523,COST_CENTER,,CWG1200000
C029523,VPF_AMT,7500,10000
C029523,LEAVE_RULES,D,null
C029523,DA_AMT,,null
C029523,EVENT_DT,,null
C029523,EVENT_CD,,null
C031855,VPF_AMT,0,6000
C031855,LEAVE_RULES,S,null
C031855,DA_AMT,,null
C031855,EVENT_DT,,null
C031855,EVENT_CD,,null
C031854,COST_CENTER,,CGO0800000
C031854,VPF_AMT,0,5000
C031854,LEAVE_RULES,S,null
C031854,DA_AMT,,null
C031854,EVENT_DT,,null
C031854,EVENT_CD,,null
C030527,COST_CENTER,,CWC0300000
C030527,VPF_AMT,7000,1000
C030527,LEAVE_RULES,D,null
C030527,DA_AMT,,null
C030527,EVENT_DT,,null
C030527,EVENT_CD,,null
C031862,VPF_AMT,0,6000
C031862,LEAVE_RULES,S,null
C031862,DA_AMT,,null
C031862,EVENT_DT,,null
C031862,EVENT_CD,,null
C030552,COST_CENTER,,CHA0000000
C030552,LTE_CD,0,5
C030552,LEAVE_RULES,D,null
C030552,DA_AMT,,null
C030552,EVENT_DT,,null
C030552,EVENT_CD,,null
C030550,COST_CENTER,,CHA0000000
C030550,VPF_AMT,10000,6000
C030550,LEAVE_RULES,D,null
C030550,DA_AMT,,null
C030550,EVENT_DT,,null
C030550,EVENT_CD,,null
C024688,EPS_CD,1,4
C024688,COST_CENTER,,CWJ0300000
C024688,LEAVE_RULES,D,null
C024688,DA_AMT,,null
C024688,EVENT_DT,,null
C024688,EVENT_CD,,null
C024687,EPS_CD,1,4
C024687,COST_CENTER,,CWZ1000000
C024687,LEAVE_RULES,D,null
C024687,DA_AMT,,null
C024687,EVENT_DT,,null
C024687,EVENT_CD,,null
C024685,COST_CENTER,,CWZ1000000
C024685,VPF_AMT,10000,20000
C024685,LEAVE_RULES,D,null
C024685,DA_AMT,,null
